epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1905,1.23175,4.24858,1.18436,0.00283,0.85,0.00326,0.00246,0.83303,4.17648,0.97067,8e-05,8e-05,8e-05
2,81.9898,0.93818,3.72512,1.07133,0.00333,1,0.14988,0.11398,0.78024,4.07383,0.88409,0.000176436,0.000176436,0.000176436
3,121.632,0.88167,2.96307,0.94187,0.00333,1,0.15136,0.11568,0.78403,3.749,0.88521,0.000268912,0.000268912,0.000268912
4,162.172,0.81912,2.30662,0.9597,0.00333,1,0.22405,0.15487,0.77543,3.7216,0.88506,0.000357428,0.000357428,0.000357428
5,202.126,0.8123,1.8756,0.93329,0.00333,1,0.2066,0.13057,0.83915,3.75154,0.88868,0.000441984,0.000441984,0.000441984
6,240.636,0.77203,1.76146,0.95522,0.00333,1,0.05087,0.03549,0.78409,3.71762,0.87099,0.00052258,0.00052258,0.00052258
7,282.416,0.7588,1.52204,0.92303,0.00317,0.95,0.00755,0.00395,0.81714,3.85091,0.91074,0.000599216,0.000599216,0.000599216
8,323.741,0.80532,1.46079,0.9249,0.00333,1,0.01104,0.00543,0.76932,3.86327,0.93516,0.000671892,0.000671892,0.000671892
9,376.905,0.75369,1.61353,0.95701,0.00333,1,0.04125,0.02813,0.76425,3.66662,0.90758,0.000740608,0.000740608,0.000740608
10,406.271,0.75898,1.53085,0.92884,0.00333,1,0.06231,0.04796,0.79122,3.65895,0.90053,0.000805364,0.000805364,0.000805364
11,435.443,0.79852,1.52672,0.95487,0.00317,0.95,0.04887,0.03533,0.92432,3.84807,0.96562,0.00086616,0.00086616,0.00086616
12,464.036,0.73485,1.40769,0.90732,0.05444,0.45,0.03779,0.02806,0.95738,4.39159,0.98492,0.000922996,0.000922996,0.000922996
13,494.348,0.79087,1.53244,0.91378,0.00317,0.95,0.07375,0.05351,1.06573,3.5287,1.04584,0.000975872,0.000975872,0.000975872
14,523.253,0.7502,1.47595,0.91806,0.003,0.9,0.06994,0.05252,0.92923,3.48182,1.00286,0.00102479,0.00102479,0.00102479
15,552.815,0.83631,1.40067,0.96578,1,0.54007,0.62905,0.44123,0.97483,3.11326,1.03412,0.00106974,0.00106974,0.00106974
16,582.326,0.79169,1.21595,0.91532,1,0.54625,0.64628,0.5011,0.90576,3.02304,0.99755,0.00111074,0.00111074,0.00111074
17,612.284,0.87206,1.44656,0.96201,0.32833,0.45,0.21898,0.17339,0.88325,3.2359,0.97915,0.00114778,0.00114778,0.00114778
18,641.357,0.74711,1.54622,0.89677,0.92239,0.5,0.62972,0.49724,0.86475,2.85628,0.92673,0.00118085,0.00118085,0.00118085
19,671.167,0.77932,1.10695,0.87813,1,0.60481,0.7969,0.60088,0.98,2.66179,0.97516,0.00120997,0.00120997,0.00120997
20,699.566,0.91205,1.32788,0.97876,0.75311,0.55,0.66453,0.48905,0.91785,2.58913,0.92155,0.00123512,0.00123512,0.00123512
21,727.475,0.83635,1.28167,0.95105,0.37355,0.6,0.32383,0.23793,0.9116,2.43817,0.90994,0.001208,0.001208,0.001208
22,756.667,0.75582,1.20705,0.93389,0.31958,0.65,0.27432,0.21084,0.85877,2.42459,0.9008,0.0011684,0.0011684,0.0011684
23,786.117,0.7693,1.1556,0.92335,0.92271,0.8,0.87394,0.67702,0.84989,2.10916,0.90281,0.0011288,0.0011288,0.0011288
24,814.737,0.75186,1.06803,0.9342,0.90923,0.8,0.93045,0.67797,0.93674,1.89452,0.93499,0.0010892,0.0010892,0.0010892
25,843.29,0.75949,1.05723,0.90867,0.96793,0.8,0.86058,0.6681,0.85356,1.9154,0.92338,0.0010496,0.0010496,0.0010496
26,873.049,0.71474,1.10294,0.90393,0.93822,0.75975,0.8082,0.65198,0.88853,1.91639,0.93323,0.00101,0.00101,0.00101
27,901.95,0.77207,1.12474,0.91351,0.47928,0.75,0.50576,0.41,0.89252,2.19243,0.93877,0.0009704,0.0009704,0.0009704
28,930.317,0.67305,1.13419,0.92601,0.92204,0.8,0.82424,0.65459,0.82226,2.01532,0.9055,0.0009308,0.0009308,0.0009308
29,959.294,0.66738,1.0316,0.91367,0.94398,0.84293,0.95028,0.73925,0.80977,1.62582,0.89697,0.0008912,0.0008912,0.0008912
30,989.157,0.68403,0.93546,0.89536,0.94673,0.88902,0.96381,0.78855,0.7673,1.36958,0.88663,0.0008516,0.0008516,0.0008516
31,1018.39,0.63681,1.11053,0.91578,0.99308,0.85,0.97367,0.7957,0.73954,1.24999,0.88812,0.000812,0.000812,0.000812
32,1047.49,0.69621,0.97255,0.8954,0.89393,1,0.98136,0.79994,0.728,1.14831,0.8764,0.0007724,0.0007724,0.0007724
33,1077.11,0.66541,1.03314,0.9273,1,0.97873,0.995,0.82202,0.74356,1.13715,0.8654,0.0007328,0.0007328,0.0007328
34,1105.74,0.59792,0.9304,0.85905,0.99038,1,0.995,0.80987,0.75805,1.10621,0.86501,0.0006932,0.0006932,0.0006932
35,1133.88,0.58148,0.90532,0.88109,0.99122,1,0.995,0.79719,0.75116,1.01853,0.86618,0.0006536,0.0006536,0.0006536
36,1161.45,0.58471,0.88249,0.86373,0.99493,1,0.995,0.80089,0.76016,0.94779,0.86258,0.000614,0.000614,0.000614
37,1190.11,0.59112,0.91488,0.89255,0.99595,1,0.995,0.79835,0.75202,0.92961,0.85619,0.0005744,0.0005744,0.0005744
38,1218.97,0.60057,0.77973,0.89285,0.99619,1,0.995,0.81955,0.73104,0.93494,0.85216,0.0005348,0.0005348,0.0005348
39,1249.43,0.61235,0.83366,0.86677,0.99633,1,0.995,0.844,0.69423,0.90767,0.84882,0.0004952,0.0004952,0.0004952
40,1279.31,0.58074,0.79766,0.84908,0.99623,1,0.995,0.84154,0.64329,0.88987,0.84868,0.0004556,0.0004556,0.0004556
41,1308.21,0.47761,0.78366,0.79408,0.99654,1,0.995,0.84396,0.6474,0.9269,0.84349,0.000416,0.000416,0.000416
42,1336.67,0.56011,0.83647,0.83466,0.99699,1,0.995,0.84322,0.66769,0.97429,0.83856,0.0003764,0.0003764,0.0003764
43,1365.69,0.52221,0.83868,0.86294,0.99691,1,0.995,0.83802,0.66915,0.98748,0.84065,0.0003368,0.0003368,0.0003368
44,1394.27,0.50474,0.81646,0.83132,0.99836,1,0.995,0.85234,0.63229,0.95247,0.83724,0.0002972,0.0002972,0.0002972
